,Beta_w,r_b,weight
1,1.946609234,1.320773467,0.000704761
2,2.164617647,1.357594476,0.000437532
3,7.069478361,1.409837161,0.000557745
4,1.404277069,1.710778134,0.000401851
5,1.339592526,1.837772317,0.00043748
6,6.956276863,1.357566641,0.001901561
7,1.418197467,1.704498141,0.000550181
8,1.940769959,1.371255844,0.000386738
9,1.423487633,1.68863496,0.000306751
10,9.066996384,1.548424521,0.001662274
11,1.509719282,1.536831855,0.000322461
12,1.667741726,1.49508085,0.00035975
13,8.434687247,1.442049147,0.00119619
14,1.312037787,1.80724676,0.000650772
15,1.513716006,1.540250909,0.000411762
16,1.388454752,1.681012188,0.000438194
17,1.687250335,1.393811056,0.000325599
18,1.39574975,1.576942542,0.000404459
19,2.217018098,1.354800935,0.000403023
20,1.633467603,1.556838651,0.0004051
21,1.342944168,1.626831047,0.000337187
22,7.499946656,1.450825263,0.000962155
23,1.312465577,1.615898728,0.00046168
24,5.452989426,1.510351157,0.001582954
25,1.45332266,1.619887752,0.000475266
26,1.828547348,1.379059774,0.000426341
27,1.829083422,1.468311971,0.000345969
28,1.476528753,1.480084872,0.000270449
29,1.513825391,1.541055244,0.000256111
30,1.630495649,1.392279859,0.001272818
31,1.495891032,1.4808061,0.00052765
32,1.361757421,1.594933048,0.000504035
33,1.420718293,1.677783891,0.000630094
34,1.39054078,1.592764471,0.000459119
35,1.341169503,1.504892159,0.000503765
36,1.424582303,1.445827554,0.000407688
37,1.464326451,1.586623705,0.000364745
38,1.440121333,1.492328531,0.000316346
39,1.476493396,1.498728959,0.000315317
40,1.414961777,1.638014291,0.000490917
41,1.468342651,1.452051791,0.000684533
42,1.500920141,1.619616331,0.000787158
43,2.238115914,1.251720387,0.001243747
44,9.890113264,1.467167477,0.00115073
45,1.531943364,1.526713599,0.00030068
46,5.316962584,1.456049411,0.00172305
47,1.676559378,1.398006972,0.001075936
48,1.916407281,1.475512283,0.000376014
49,1.984487074,1.392228668,0.000824817
50,1.429836241,1.470070439,0.000273739
51,1.538436282,1.492451224,0.000440132
52,8.785069419,1.42329193,0.001217416
53,1.379708909,1.559745892,0.000306999
54,7.715226699,1.56451887,0.001178331
55,8.575357966,1.384244407,0.000842823
56,1.438450476,1.631379537,0.000606086
57,1.916469912,1.476040242,0.000329882
58,1.474720549,1.416357217,0.000270249
59,1.331427225,1.778681794,0.000439816
60,1.368153699,1.530719023,0.00029777
61,1.708411245,1.445606934,0.001615626
62,1.363082782,1.788118249,0.000430899
63,1.423098066,1.719104473,0.000341329
64,1.413789586,1.496535309,0.000272806
65,1.605135306,1.368290024,0.000361533
66,1.597455258,1.454479455,0.000530457
67,2.106612138,1.235793729,0.001040833
68,1.292005821,1.710109471,0.000463469
69,1.482527662,1.552705005,0.000329799
70,1.63418846,1.391709116,0.000431807
71,1.421865826,1.539918621,0.000329924
72,1.39465513,1.752256232,0.000494115
73,1.34072636,1.574237178,0.000377202
74,1.960370868,1.335207998,0.000831966
75,8.128612982,1.319254445,0.002444861
76,1.569713795,1.438610085,0.000605517
77,1.497307227,1.483420549,0.000271238
78,5.045542322,1.371360168,0.000994906
79,1.466747604,1.648810804,0.00040386
80,1.38457617,1.594013161,0.000324535
81,1.404502315,1.492189743,0.00028075
82,2.318621677,1.442731908,0.001454945
83,2.897512419,1.45353261,0.000757803
84,1.410918843,1.642056958,0.000759129
85,1.491172887,1.444194522,0.00029954
86,1.353887535,1.526971671,0.000387766
87,1.316894754,1.626384161,0.001730832
88,1.493010243,1.416119355,0.000500616
89,1.476012129,1.48715204,0.000428032
90,1.308385933,1.655339896,0.000544638
91,2.115636175,1.356667233,0.000362362
92,1.421572197,1.490530108,0.000408765
93,1.510789786,1.66823747,0.000335656
94,1.365890556,1.626720853,0.000330172
95,1.419849605,1.576748824,0.000349499
96,1.290156072,1.577933346,0.000427585
97,1.505952689,1.4276029,0.000369596
98,1.418937349,1.665949003,0.000458093
99,1.561630783,1.437204836,0.000289383
100,7.002754484,1.691745573,0.001652745
101,3.167434242,1.276790755,0.000385759
102,1.341344354,1.708957066,0.000726122
103,1.334496959,1.728145496,0.000407443
104,1.593992442,1.54559393,0.000475455
105,1.256006269,1.875783701,0.001202051
106,1.330904361,1.681381291,0.00087367
107,1.559483407,1.527258001,0.000622447
108,1.356957961,1.652421796,0.000319325
109,7.4958242,1.450359678,0.000668208
110,5.221899717,1.544799253,0.001044243
111,1.473971801,1.585790576,0.000656672
112,1.48537001,1.536401175,0.000435544
113,1.571825519,1.360806013,0.000527689
114,1.337674975,1.50868037,0.000459462
115,1.488944478,1.527726906,0.00034467
116,1.483253091,1.578124369,0.00032347
117,1.384860283,1.506361854,0.000313517
118,2.193106974,1.358820199,0.000500143
119,1.545405034,1.542417387,0.000575785
120,1.319947562,1.757546527,0.00057356
121,1.405101268,1.546781408,0.000273442
122,1.278235961,1.727514971,0.000481048
123,1.790056416,1.429843645,0.000496539
124,1.351575524,1.734907992,0.000736903
125,1.49069965,1.450897784,0.000983853
126,1.422813435,1.560348258,0.000286809
127,1.3022372,1.621954823,0.000385525
128,6.342333044,1.343293785,0.001549919
129,1.72726998,1.406599929,0.000319116
130,1.292556649,1.97732191,0.00075981
131,1.343103847,1.534587364,0.000400705
132,1.403975197,1.558881937,0.00045624
133,1.687545759,1.393067739,0.000316385
134,1.826500362,1.246807438,0.000424138
135,1.50836157,1.558204089,0.000280104
136,1.316787458,1.786576393,0.000603862
137,1.424402241,1.424135455,0.000263353
138,2.03823208,1.380663541,0.001085925
139,1.542988749,1.52792742,0.000322749
140,1.505787844,1.534310844,0.000422737
141,6.675279878,1.419300504,0.00062308
142,8.865583693,1.517412984,0.001492992
143,1.498513636,1.426255887,0.000662993
144,1.574615989,1.596821872,0.000354702
145,1.363065513,1.579075248,0.00031559
146,7.603546928,1.353156501,0.000985115
147,1.472642672,1.470879557,0.00041368
148,1.601238182,1.561068315,0.000510341
149,1.512711253,1.51269017,0.000377013
150,1.78498611,1.430596555,0.000370769
